"id","driver_id","season_id","team_id","points","position","driver_name","image_path"
20,1987897,7,57,2,20,"Nicholas Latifi","/images/nicholas.png"
13,2837144,7,18,24,13,"Kevin Magnussen","/images/kevin.png"
15,232411,7,20,13,15,"Lance Stroll","/images/lance.png"
10,232395,7,19,47,10,"Valtteri Bottas","/images/valtteri.png"
17,2837148,7,17,12,17,"Yuki Tsunoda","/images/yuki.png"
7,1234320,7,14,111,7,"Lando Norris","/images/lando.png"
19,6173364,7,57,4,19,"Alexander Albon","/images/alex.png"
16,2837143,7,18,12,16,"Mick Schumacher","/images/mick.png"
4,258813,7,13,231,4,"George Russell","/images/george.png"
14,232399,7,17,23,14,"Pierre Gasly","/images/pierre.png"
6,232405,7,11,212,6,"Carlos Sainz Jr ","/images/carlos.png"
5,232394,7,13,216,5,"Lewis Hamilton","/images/lewis.png"
12,232400,7,14,35,12,"Daniel Ricciardo","/images/danny.png"
8,232406,7,16,82,8,"Esteban Ocon","/images/esteban.png"
11,232393,7,20,36,11,"Sebastian Vettel","/images/seb.png"
3,232409,7,11,275,3,"Charles Leclerc","/images/charles.png"
9,232396,7,16,71,9,"Fernando Alonso","/images/fernando.png"
2,232407,7,15,280,2,"Sergio Perez","/images/sergio.png"
18,232397,7,19,6,18,"Zhou Guanyu","/images/zhou.png"
1,232402,7,15,416,1,"Max Verstappen","/images/max.png"
